brand,product,link,product_description,image_link
KALINI,Ethnic Printed Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-ethnic-printed-v-neck-three-quarter-sleeves-kurta-with-trousers--with-dupatta/27614084/buy,"Ethnic Motif printed | Straight shape | Regular style | V-neck, three-quarter regular sleeves | Calf length length with straight hem | Cotton blend machine weave fabric | Printed Trousers | Elasticated waistband | Printed | Taping","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27614084/2024/2/15/20054430-3510-4b75-b8ca-47b699d2fad61707979963816KALINIWomenMustardPrintedStraightKurtawithTrousersDupatta1.jpg"
Libas,Women Kurta with Trousers With Dupatta,https://www.myntra.com/kurta-sets/libas/libas-women-peach-coloured-floral-kurta-with-trousers--dupatta/19674622/buy,"Floral woven design | Straight shape | Regular style | Round neck, long regular sleeves | 2 pockets zari detail | Calf length with straight hem | Silk blend machine weave fabric | Solid Trousers | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19674622/2024/3/26/3adc5041-4dcc-4c76-9077-4053ab2b307f1711426468077-Libas-Women-Peach-Coloured-Floral-Kurta-with-Trousers--Dupat-12.jpg"
anayna,Women Printed Kurta with Trousers,https://www.myntra.com/kurta-sets/anayna/anayna-women-beige-floral-printed-pure-cotton-kurta-with-trousers/21334344/buy,"Floral printed | Straight shape | Regular style | V-neck, three-quarter regular sleeves | Calf length length with straight hem | Pure cotton machine weave fabric | Printed Trousers | Partially elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21334344/2023/10/4/0f1cfc0f-db46-4f83-ad81-927ff4dc1c261696408834019-anayna-Women-Beige-Floral-Printed-Pure-Cotton-Kurta-with-Tro-11.jpg"
KALINI,Embroidered Cotton Kurta,https://www.myntra.com/kurtas/kalini/kalini-ethnic-motifs-embroidered-thread-work-cotton-straight-kurta/25965086/buy,"Colour: purple, white | Ethnic Motifs Embroidered | Round neck | Three-quarter, regular sleeves | Straight shape with regular style | Thread Work detail | Calf length with straight hem | Machine weave regular cotton","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25965086/2023/11/21/91687416-2092-4e35-abff-31f3409670ba1700552987532KALINIWomenPurpleEmbroideredKurta1.jpg"
KALINI,A-Line Kurta with Palazzos,https://www.myntra.com/kurta-sets/kalini/kalini-ethnic-motifs-printed-a-line-kurta-with-palazzos/27206774/buy,"Ethnic motifs printed | A-line shape | Regular style | Round neck, three-quarter regular sleeves | Calf length with flared hem | Cotton blend machine weave fabric | Printed Palazzos | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27206774/2024/1/25/e315359a-e708-4738-ae57-36ef0b674a141706186601318KALINIWomenMaroonA-LinePrintedKurtawithPalazzo1.jpg"
Sangria,Pure Cotton Pathani Kurta Sets,https://www.myntra.com/kurta-sets/sangria/sangria-off-white-ethnic-motifs-self-design-thread-work-pure-cotton-pathani-kurta-sets/25287246/buy,"Off white kurta | Ethnic motifs self design | Shirt collar | Three-quarter, regular sleeves | Thread work details | Straight shaped | Calf-length with straight hem and side slits | Machine weave regular pure viscose | Off white solid trousers | Elasticated Waistband | Slip-on closure | Pink Dupatta | Printed","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25287246/2023/9/30/fc64e145-74d7-4cde-a2f9-07161e1f6ae81696023508684OffWhitePureCottonEmbroideredPathaniKurtaWithTrousersDupatta1.jpg"
KALINI,Embroidered Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-floral-embroidered-regular-sequinned-kurta-with-trousers--dupatta/26511668/buy,Floral embroidered | Straight shape | Regular style | V-neck | Three-quarter regular sleeves | Sequinned detail | Calf length with straight hem | Viscose rayon handloom fabric | Embroidered trousers | Partially elasticated waistband | Slip-on closure,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26511668/2023/12/19/9b8c02ae-e61b-41aa-8a25-6ef76f8f2fdf1702967833247KALINIWomenCream-ColouredFloralEmbroideredRegularSequinnedKu1.jpg"
KALINI,Shibori Dyed Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-shibori-dyed-regular-kurta-with-trousers---dupatta/25260136/buy,"Shibori Dyed | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Calf length with straight hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25260136/2023/9/29/584e3bfb-0f4f-408f-89b1-4b5a04b710c51695970415815KALINIWomenBlueEthnicMotifsYokeDesignRegularKurtawithTrouser1.jpg"
KALINI,Printed Kurta with Trousers,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-v-neck-kurta-with-trousers/25864512/buy,"Floral printed | Straight shape | Regular style | V-neck, three-quarter regular sleeves | Calf length with straight hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband | Slip on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25864512/2023/12/1/1528d7c3-9dba-416b-b3cb-83f8f0d922f21701425510580-KALINI-Floral-Printed-V-Neck-Kurta-with-Trousers-61917014255-4.jpg"
KALINI,Leheriya Printed Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-leheriya-printed-regular-thread-work-kurta-with-trousers--dupatta/26375944/buy,"Leheriya printed | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Thread work detail | Calf length straight hem  | Cotton blend machine weave fabric | Solid trousers | Partially elasticated waistband | Slip-on closure | Printed | Tapping border ","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26375944/2023/12/12/2feab900-1e69-4f0f-a7c1-538a65d273d91702369525624KALINIWomenRedStraightPrintedKurtawithTrouserDupatta1.jpg"
